sleep_date,duration_hrs,total_deep_hrs,total_light_hrs,total_interpurt_hrs,total_unknown_hrs,total_toss_turns,avg_percent_rem_hrs
2013-07-06,9.15,0.0,0.0,0.0,0.0,0,0.0
2013-07-07,6.15,0.0,0.0,0.0,0.0,0,0.0
2013-07-08,7.1333333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-07-09,8.1166666666666671,0.0,0.0,0.0,0.0,0,0.0
2013-07-10,5.9,0.0,0.0,0.0,0.0,0,0.0
2013-07-11,8.6166666666666671,0.0,0.0,0.0,0.0,0,0.0
2013-07-12,2.4833333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-07-13,10.5,0.0,0.0,0.0,0.0,0,0.0
2013-07-14,5.6,0.0,0.0,0.0,0.0,0,0.0
2013-07-15,7.5333333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-07-16,7.8,0.0,0.0,0.0,0.0,0,0.0
2013-07-17,7.8,0.0,0.0,0.0,0.0,0,0.0
2013-07-18,5.5666666666666664,0.0,0.0,0.0,0.0,0,0.0
2013-07-19,8.8833333333333329,0.0,0.0,0.0,0.0,0,0.0
2013-07-20,6.2,0.0,0.0,0.0,0.0,0,0.0
2013-07-21,6.1833333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-07-22,8.2166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-07-23,5.666666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-07-24,8.3833333333333329,0.0,0.0,0.0,0.0,0,0.0
2013-07-25,7.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-07-26,6.25,0.0,0.0,0.0,0.0,0,0.0
2013-07-27,7.6333333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-07-28,6.6,0.0,0.0,0.0,0.0,0,0.0
2013-07-29,8.7166666666666668,0.0,0.0,0.0,0.0,0,0.0
2013-07-30,4.2833333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-07-31,8.2666666666666675,0.0,0.0,0.0,0.0,0,0.0
2013-08-01,7.75,0.0,0.0,0.0,0.0,0,0.0
2013-08-02,5.166666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-08-03,8.2333333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-08-04,5.5166666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-08-05,8.0333333333333332,0.0,0.0,0.0,0.0,0,0.0
2013-08-06,6.3,0.0,0.0,0.0,0.0,0,0.0
2013-08-07,7.0,0.0,0.0,0.0,0.0,0,0.0
2013-08-08,10.066666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-08-09,8.9,0.0,0.0,0.0,0.0,0,0.0
2013-08-10,6.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-08-11,9.9833333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-08-12,7.9,0.0,0.0,0.0,0.0,0,0.0
2013-08-13,10.666666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-08-14,7.55,0.0,0.0,0.0,0.0,0,0.0
2013-08-15,10.683333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-08-16,6.3833333333333337,0.0,0.0,0.0,0.0,0,0.0
2013-08-17,7.5,0.0,0.0,0.0,0.0,0,0.0
2013-08-18,5.4333333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-08-19,8.4166666666666661,0.0,0.0,0.0,0.0,0,0.0
2013-08-20,6.85,0.0,0.0,0.0,0.0,0,0.0
2013-08-21,5.85,0.0,0.0,0.0,0.0,0,0.0
2013-08-22,6.45,0.0,0.0,0.0,0.0,0,0.0
2013-08-23,8.7333333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-08-24,8.4833333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-08-25,5.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-08-26,5.4,0.0,0.0,0.0,0.0,0,0.0
2013-08-27,7.4,0.0,0.0,0.0,0.0,0,0.0
2013-08-28,8.4333333333333336,0.0,0.0,0.0,0.0,0,0.0
2013-08-29,6.6166666666666663,0.0,0.0,0.0,0.0,0,0.0
2013-08-30,6.916666666666667,0.0,0.0,0.0,0.0,0,0.0
2013-08-31,10.8,0.0,0.0,0.0,0.0,0,0.0
2013-09-01,6.7333333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-09-02,8.4833333333333325,0.0,0.0,0.0,0.0,0,0.0
2013-09-03,5.833333333333333,0.0,0.0,0.0,0.0,0,0.0
2013-09-04,6.7333333333333334,0.0,0.0,0.0,0.0,0,0.0
2013-09-05,6.7666666666666666,0.0,0.0,0.0,0.0,0,0.0
2013-09-06,8.8333333333333339,0.0,0.0,0.0,0.0,0,0.0
